"FitID","Route","Model","TrainWeighting","Design","K","Fold","TrainingDataHash","WeightHash","ConfigHash"
"tenfold__10__binary__Null__species_equal","binary","Null","species_equal","tenfold",10,10,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"full__binary__M1__record_equal","binary","M1","record_equal","full",,,"4df650ccab8f46a82730f03a9357fdf428e8aa98c4b50733f619e5b1b89f3d01",,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__1__binary__M1__record_equal","binary","M1","record_equal","fivefold",5,1,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__2__binary__M1__record_equal","binary","M1","record_equal","fivefold",5,2,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__3__binary__M1__record_equal","binary","M1","record_equal","fivefold",5,3,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__4__binary__M1__record_equal","binary","M1","record_equal","fivefold",5,4,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__5__binary__M1__record_equal","binary","M1","record_equal","fivefold",5,5,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__1__binary__M1__record_equal","binary","M1","record_equal","tenfold",10,1,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__2__binary__M1__record_equal","binary","M1","record_equal","tenfold",10,2,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__3__binary__M1__record_equal","binary","M1","record_equal","tenfold",10,3,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__4__binary__M1__record_equal","binary","M1","record_equal","tenfold",10,4,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__5__binary__M1__record_equal","binary","M1","record_equal","tenfold",10,5,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__6__binary__M1__record_equal","binary","M1","record_equal","tenfold",10,6,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__7__binary__M1__record_equal","binary","M1","record_equal","tenfold",10,7,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__8__binary__M1__record_equal","binary","M1","record_equal","tenfold",10,8,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__9__binary__M1__record_equal","binary","M1","record_equal","tenfold",10,9,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__10__binary__M1__record_equal","binary","M1","record_equal","tenfold",10,10,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"full__binary__M1__species_equal","binary","M1","species_equal","full",,,"4df650ccab8f46a82730f03a9357fdf428e8aa98c4b50733f619e5b1b89f3d01",,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__1__binary__M1__species_equal","binary","M1","species_equal","fivefold",5,1,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__2__binary__M1__species_equal","binary","M1","species_equal","fivefold",5,2,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__3__binary__M1__species_equal","binary","M1","species_equal","fivefold",5,3,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__4__binary__M1__species_equal","binary","M1","species_equal","fivefold",5,4,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__5__binary__M1__species_equal","binary","M1","species_equal","fivefold",5,5,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__1__binary__M1__species_equal","binary","M1","species_equal","tenfold",10,1,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__2__binary__M1__species_equal","binary","M1","species_equal","tenfold",10,2,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__3__binary__M1__species_equal","binary","M1","species_equal","tenfold",10,3,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__4__binary__M1__species_equal","binary","M1","species_equal","tenfold",10,4,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__5__binary__M1__species_equal","binary","M1","species_equal","tenfold",10,5,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__6__binary__M1__species_equal","binary","M1","species_equal","tenfold",10,6,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__7__binary__M1__species_equal","binary","M1","species_equal","tenfold",10,7,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__8__binary__M1__species_equal","binary","M1","species_equal","tenfold",10,8,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__9__binary__M1__species_equal","binary","M1","species_equal","tenfold",10,9,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__10__binary__M1__species_equal","binary","M1","species_equal","tenfold",10,10,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"full__binary__M2__record_equal","binary","M2","record_equal","full",,,"4df650ccab8f46a82730f03a9357fdf428e8aa98c4b50733f619e5b1b89f3d01",,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__1__binary__M2__record_equal","binary","M2","record_equal","fivefold",5,1,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__2__binary__M2__record_equal","binary","M2","record_equal","fivefold",5,2,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__3__binary__M2__record_equal","binary","M2","record_equal","fivefold",5,3,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__4__binary__M2__record_equal","binary","M2","record_equal","fivefold",5,4,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__5__binary__M2__record_equal","binary","M2","record_equal","fivefold",5,5,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__1__binary__M2__record_equal","binary","M2","record_equal","tenfold",10,1,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__2__binary__M2__record_equal","binary","M2","record_equal","tenfold",10,2,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__3__binary__M2__record_equal","binary","M2","record_equal","tenfold",10,3,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__4__binary__M2__record_equal","binary","M2","record_equal","tenfold",10,4,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__5__binary__M2__record_equal","binary","M2","record_equal","tenfold",10,5,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__6__binary__M2__record_equal","binary","M2","record_equal","tenfold",10,6,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__7__binary__M2__record_equal","binary","M2","record_equal","tenfold",10,7,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__8__binary__M2__record_equal","binary","M2","record_equal","tenfold",10,8,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__9__binary__M2__record_equal","binary","M2","record_equal","tenfold",10,9,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__10__binary__M2__record_equal","binary","M2","record_equal","tenfold",10,10,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"full__binary__M2__species_equal","binary","M2","species_equal","full",,,"4df650ccab8f46a82730f03a9357fdf428e8aa98c4b50733f619e5b1b89f3d01",,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__1__binary__M2__species_equal","binary","M2","species_equal","fivefold",5,1,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__2__binary__M2__species_equal","binary","M2","species_equal","fivefold",5,2,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__3__binary__M2__species_equal","binary","M2","species_equal","fivefold",5,3,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__4__binary__M2__species_equal","binary","M2","species_equal","fivefold",5,4,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__5__binary__M2__species_equal","binary","M2","species_equal","fivefold",5,5,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__1__binary__M2__species_equal","binary","M2","species_equal","tenfold",10,1,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__2__binary__M2__species_equal","binary","M2","species_equal","tenfold",10,2,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__3__binary__M2__species_equal","binary","M2","species_equal","tenfold",10,3,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__4__binary__M2__species_equal","binary","M2","species_equal","tenfold",10,4,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__5__binary__M2__species_equal","binary","M2","species_equal","tenfold",10,5,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__6__binary__M2__species_equal","binary","M2","species_equal","tenfold",10,6,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__7__binary__M2__species_equal","binary","M2","species_equal","tenfold",10,7,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__8__binary__M2__species_equal","binary","M2","species_equal","tenfold",10,8,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__9__binary__M2__species_equal","binary","M2","species_equal","tenfold",10,9,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__10__binary__M2__species_equal","binary","M2","species_equal","tenfold",10,10,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"full__binary__M3__record_equal","binary","M3","record_equal","full",,,"4df650ccab8f46a82730f03a9357fdf428e8aa98c4b50733f619e5b1b89f3d01",,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__1__binary__M3__record_equal","binary","M3","record_equal","fivefold",5,1,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__2__binary__M3__record_equal","binary","M3","record_equal","fivefold",5,2,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__3__binary__M3__record_equal","binary","M3","record_equal","fivefold",5,3,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__4__binary__M3__record_equal","binary","M3","record_equal","fivefold",5,4,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__5__binary__M3__record_equal","binary","M3","record_equal","fivefold",5,5,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__1__binary__M3__record_equal","binary","M3","record_equal","tenfold",10,1,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__2__binary__M3__record_equal","binary","M3","record_equal","tenfold",10,2,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__3__binary__M3__record_equal","binary","M3","record_equal","tenfold",10,3,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__4__binary__M3__record_equal","binary","M3","record_equal","tenfold",10,4,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__5__binary__M3__record_equal","binary","M3","record_equal","tenfold",10,5,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__6__binary__M3__record_equal","binary","M3","record_equal","tenfold",10,6,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__7__binary__M3__record_equal","binary","M3","record_equal","tenfold",10,7,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__8__binary__M3__record_equal","binary","M3","record_equal","tenfold",10,8,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__9__binary__M3__record_equal","binary","M3","record_equal","tenfold",10,9,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__10__binary__M3__record_equal","binary","M3","record_equal","tenfold",10,10,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"full__binary__M3__species_equal","binary","M3","species_equal","full",,,"4df650ccab8f46a82730f03a9357fdf428e8aa98c4b50733f619e5b1b89f3d01",,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__1__binary__M3__species_equal","binary","M3","species_equal","fivefold",5,1,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__2__binary__M3__species_equal","binary","M3","species_equal","fivefold",5,2,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__3__binary__M3__species_equal","binary","M3","species_equal","fivefold",5,3,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__4__binary__M3__species_equal","binary","M3","species_equal","fivefold",5,4,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__5__binary__M3__species_equal","binary","M3","species_equal","fivefold",5,5,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__1__binary__M3__species_equal","binary","M3","species_equal","tenfold",10,1,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__2__binary__M3__species_equal","binary","M3","species_equal","tenfold",10,2,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__3__binary__M3__species_equal","binary","M3","species_equal","tenfold",10,3,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__4__binary__M3__species_equal","binary","M3","species_equal","tenfold",10,4,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__5__binary__M3__species_equal","binary","M3","species_equal","tenfold",10,5,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__6__binary__M3__species_equal","binary","M3","species_equal","tenfold",10,6,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__7__binary__M3__species_equal","binary","M3","species_equal","tenfold",10,7,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__8__binary__M3__species_equal","binary","M3","species_equal","tenfold",10,8,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__9__binary__M3__species_equal","binary","M3","species_equal","tenfold",10,9,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__10__binary__M3__species_equal","binary","M3","species_equal","tenfold",10,10,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"full__joint_bb__Null__record_equal","joint_bb","Null","record_equal","full",,,"4df650ccab8f46a82730f03a9357fdf428e8aa98c4b50733f619e5b1b89f3d01",,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__1__joint_bb__Null__record_equal","joint_bb","Null","record_equal","fivefold",5,1,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__2__joint_bb__Null__record_equal","joint_bb","Null","record_equal","fivefold",5,2,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__3__joint_bb__Null__record_equal","joint_bb","Null","record_equal","fivefold",5,3,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__4__joint_bb__Null__record_equal","joint_bb","Null","record_equal","fivefold",5,4,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__5__joint_bb__Null__record_equal","joint_bb","Null","record_equal","fivefold",5,5,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__1__joint_bb__Null__record_equal","joint_bb","Null","record_equal","tenfold",10,1,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__2__joint_bb__Null__record_equal","joint_bb","Null","record_equal","tenfold",10,2,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__3__joint_bb__Null__record_equal","joint_bb","Null","record_equal","tenfold",10,3,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__4__joint_bb__Null__record_equal","joint_bb","Null","record_equal","tenfold",10,4,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__5__joint_bb__Null__record_equal","joint_bb","Null","record_equal","tenfold",10,5,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__6__joint_bb__Null__record_equal","joint_bb","Null","record_equal","tenfold",10,6,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__7__joint_bb__Null__record_equal","joint_bb","Null","record_equal","tenfold",10,7,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__8__joint_bb__Null__record_equal","joint_bb","Null","record_equal","tenfold",10,8,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__9__joint_bb__Null__record_equal","joint_bb","Null","record_equal","tenfold",10,9,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__10__joint_bb__Null__record_equal","joint_bb","Null","record_equal","tenfold",10,10,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"full__joint_bb__Null__species_equal","joint_bb","Null","species_equal","full",,,"4df650ccab8f46a82730f03a9357fdf428e8aa98c4b50733f619e5b1b89f3d01",,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__1__joint_bb__Null__species_equal","joint_bb","Null","species_equal","fivefold",5,1,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__2__joint_bb__Null__species_equal","joint_bb","Null","species_equal","fivefold",5,2,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__3__joint_bb__Null__species_equal","joint_bb","Null","species_equal","fivefold",5,3,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__4__joint_bb__Null__species_equal","joint_bb","Null","species_equal","fivefold",5,4,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"fivefold__5__joint_bb__Null__species_equal","joint_bb","Null","species_equal","fivefold",5,5,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__1__joint_bb__Null__species_equal","joint_bb","Null","species_equal","tenfold",10,1,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__2__joint_bb__Null__species_equal","joint_bb","Null","species_equal","tenfold",10,2,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__3__joint_bb__Null__species_equal","joint_bb","Null","species_equal","tenfold",10,3,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__4__joint_bb__Null__species_equal","joint_bb","Null","species_equal","tenfold",10,4,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
"tenfold__5__joint_bb__Null__species_equal","joint_bb","Null","species_equal","tenfold",10,5,,,"da7ffa49164fd3ceb1073346cd2198b02da2e13999344a2367fc0a2ed255a26f"
