FigureID,Group,Scope,PDF,SVG,PNG,Preview,SourceCSV,WidthMM,HeightMM,Estimand,Interval,ScientificStatus,VisualReview,SourceManifest
S04_fold_composition,folds,all,S04_fold_composition.pdf,S04_fold_composition.svg,S04_fold_composition.png,S04_fold_composition_preview.png,figure_data\model\S04_fold_composition.csv,210.00000000000003,245.0,Actual heldout-species/record counts,,READY,COMPLETED_BY_REVIEWER,
F05_coefficients_binary_M1,coefficients,binary,F05_coefficients_binary_M1.pdf,F05_coefficients_binary_M1.svg,F05_coefficients_binary_M1.png,F05_coefficients_binary_M1_preview.png,figure_data\model\F05_coefficients_binary_M1.csv,205.0,131.0,binary fixed-effect logit coefficient posterior mean,95% posterior interval,READY,COMPLETED_BY_REVIEWER,figures\model\F05_coefficients_binary_M1_provenance.json
F05_coefficients_binary_M2,coefficients,binary,F05_coefficients_binary_M2.pdf,F05_coefficients_binary_M2.svg,F05_coefficients_binary_M2.png,F05_coefficients_binary_M2_preview.png,figure_data\model\F05_coefficients_binary_M2.csv,205.0,131.0,binary fixed-effect logit coefficient posterior mean,95% posterior interval,READY,COMPLETED_BY_REVIEWER,figures\model\F05_coefficients_binary_M2_provenance.json
F05_coefficients_binary_M3,coefficients,binary,F05_coefficients_binary_M3.pdf,F05_coefficients_binary_M3.svg,F05_coefficients_binary_M3.png,F05_coefficients_binary_M3_preview.png,figure_data\model\F05_coefficients_binary_M3.csv,205.0,227.0,binary fixed-effect logit coefficient posterior mean,95% posterior interval,PRIOR_DEPENDENCE_CAUTION,COMPLETED_BY_REVIEWER,figures\model\F05_coefficients_binary_M3_provenance.json
S07_ppc_ecdf_binary_Null_U,ppc_ecdf,binary,S07_ppc_ecdf_binary.pdf,S07_ppc_ecdf_binary_Null_U.svg,S07_ppc_ecdf_binary_Null_U.png,S07_ppc_ecdf_binary_Null_U_preview.png,figure_data\model\S07_ppc_ecdf_binary_Null_U.csv,180.0,105.0,In-sample outcome distribution,,READY,COMPLETED_BY_REVIEWER,figures\model\S07_ppc_ecdf_binary_Null_U_provenance.json
S07_ppc_ecdf_binary_Phylogeny_only_P,ppc_ecdf,binary,S07_ppc_ecdf_binary.pdf,S07_ppc_ecdf_binary_Phylogeny_only_P.svg,S07_ppc_ecdf_binary_Phylogeny_only_P.png,S07_ppc_ecdf_binary_Phylogeny_only_P_preview.png,figure_data\model\S07_ppc_ecdf_binary_Phylogeny_only_P.csv,180.0,105.0,In-sample outcome distribution,,READY,COMPLETED_BY_REVIEWER,figures\model\S07_ppc_ecdf_binary_Phylogeny_only_P_provenance.json
S07_ppc_ecdf_binary_Site315_U,ppc_ecdf,binary,S07_ppc_ecdf_binary.pdf,S07_ppc_ecdf_binary_Site315_U.svg,S07_ppc_ecdf_binary_Site315_U.png,S07_ppc_ecdf_binary_Site315_U_preview.png,figure_data\model\S07_ppc_ecdf_binary_Site315_U.csv,180.0,105.0,In-sample outcome distribution,,READY,COMPLETED_BY_REVIEWER,figures\model\S07_ppc_ecdf_binary_Site315_U_provenance.json
S07_ppc_ecdf_binary_Site315_P,ppc_ecdf,binary,S07_ppc_ecdf_binary.pdf,S07_ppc_ecdf_binary_Site315_P.svg,S07_ppc_ecdf_binary_Site315_P.png,S07_ppc_ecdf_binary_Site315_P_preview.png,figure_data\model\S07_ppc_ecdf_binary_Site315_P.csv,180.0,105.0,In-sample outcome distribution,,READY,COMPLETED_BY_REVIEWER,figures\model\S07_ppc_ecdf_binary_Site315_P_provenance.json
S07_ppc_ecdf_binary_M1_U,ppc_ecdf,binary,S07_ppc_ecdf_binary.pdf,S07_ppc_ecdf_binary_M1_U.svg,S07_ppc_ecdf_binary_M1_U.png,S07_ppc_ecdf_binary_M1_U_preview.png,figure_data\model\S07_ppc_ecdf_binary_M1_U.csv,180.0,105.0,In-sample outcome distribution,,READY,COMPLETED_BY_REVIEWER,figures\model\S07_ppc_ecdf_binary_M1_U_provenance.json
S07_ppc_ecdf_binary_M1_P,ppc_ecdf,binary,S07_ppc_ecdf_binary.pdf,S07_ppc_ecdf_binary_M1_P.svg,S07_ppc_ecdf_binary_M1_P.png,S07_ppc_ecdf_binary_M1_P_preview.png,figure_data\model\S07_ppc_ecdf_binary_M1_P.csv,180.0,105.0,In-sample outcome distribution,,READY,COMPLETED_BY_REVIEWER,figures\model\S07_ppc_ecdf_binary_M1_P_provenance.json
S07_ppc_ecdf_binary_M2_U,ppc_ecdf,binary,S07_ppc_ecdf_binary.pdf,S07_ppc_ecdf_binary_M2_U.svg,S07_ppc_ecdf_binary_M2_U.png,S07_ppc_ecdf_binary_M2_U_preview.png,figure_data\model\S07_ppc_ecdf_binary_M2_U.csv,180.0,105.0,In-sample outcome distribution,,READY,COMPLETED_BY_REVIEWER,figures\model\S07_ppc_ecdf_binary_M2_U_provenance.json
