"FPR","TPR","Design","Model"
0.638888888888889,0.827586206896552,"species5","M1"
0.638888888888889,0.836206896551724,"species5","M1"
0.638888888888889,0.844827586206897,"species5","M1"
0.638888888888889,0.853448275862069,"species5","M1"
0.638888888888889,0.862068965517241,"species5","M1"
0.638888888888889,0.870689655172414,"species5","M1"
0.638888888888889,0.879310344827586,"species5","M1"
0.638888888888889,0.887931034482759,"species5","M1"
0.638888888888889,0.896551724137931,"species5","M1"
0.638888888888889,0.905172413793103,"species5","M1"
0.638888888888889,0.913793103448276,"species5","M1"
0.638888888888889,0.922413793103448,"species5","M1"
0.638888888888889,0.931034482758621,"species5","M1"
0.666666666666667,0.931034482758621,"species5","M1"
0.666666666666667,0.939655172413793,"species5","M1"
0.694444444444444,0.939655172413793,"species5","M1"
0.694444444444444,0.948275862068966,"species5","M1"
0.694444444444444,0.956896551724138,"species5","M1"
0.694444444444444,0.96551724137931,"species5","M1"
0.722222222222222,0.96551724137931,"species5","M1"
0.722222222222222,0.974137931034483,"species5","M1"
0.722222222222222,0.982758620689655,"species5","M1"
0.722222222222222,0.991379310344828,"species5","M1"
0.722222222222222,1,"species5","M1"
0.75,1,"species5","M1"
0.777777777777778,1,"species5","M1"
0.805555555555556,1,"species5","M1"
0.833333333333333,1,"species5","M1"
0.861111111111111,1,"species5","M1"
0.888888888888889,1,"species5","M1"
0.916666666666667,1,"species5","M1"
0.944444444444444,1,"species5","M1"
0.972222222222222,1,"species5","M1"
1,1,"species5","M1"
1,1,"species5","M1"
0,0,"species5","M2"
0,0.00862068965517241,"species5","M2"
0.0277777777777778,0.00862068965517241,"species5","M2"
0.0555555555555556,0.00862068965517241,"species5","M2"
0.0833333333333333,0.00862068965517241,"species5","M2"
0.111111111111111,0.00862068965517241,"species5","M2"
0.138888888888889,0.00862068965517241,"species5","M2"
0.166666666666667,0.00862068965517241,"species5","M2"
0.166666666666667,0.0172413793103448,"species5","M2"
0.166666666666667,0.0258620689655172,"species5","M2"
0.166666666666667,0.0344827586206897,"species5","M2"
0.166666666666667,0.0431034482758621,"species5","M2"
0.166666666666667,0.0517241379310345,"species5","M2"
0.166666666666667,0.0603448275862069,"species5","M2"
0.166666666666667,0.0689655172413793,"species5","M2"
0.194444444444444,0.0689655172413793,"species5","M2"
0.222222222222222,0.0689655172413793,"species5","M2"
0.222222222222222,0.0775862068965517,"species5","M2"
0.222222222222222,0.0862068965517241,"species5","M2"
0.222222222222222,0.0948275862068965,"species5","M2"
0.222222222222222,0.103448275862069,"species5","M2"
0.222222222222222,0.112068965517241,"species5","M2"
0.222222222222222,0.120689655172414,"species5","M2"
0.222222222222222,0.129310344827586,"species5","M2"
0.222222222222222,0.137931034482759,"species5","M2"
0.222222222222222,0.146551724137931,"species5","M2"
0.222222222222222,0.155172413793103,"species5","M2"
0.222222222222222,0.163793103448276,"species5","M2"
0.222222222222222,0.172413793103448,"species5","M2"
0.222222222222222,0.181034482758621,"species5","M2"
0.222222222222222,0.189655172413793,"species5","M2"
0.222222222222222,0.198275862068966,"species5","M2"
0.25,0.198275862068966,"species5","M2"
0.25,0.206896551724138,"species5","M2"
0.25,0.21551724137931,"species5","M2"
0.25,0.224137931034483,"species5","M2"
0.25,0.232758620689655,"species5","M2"
0.25,0.241379310344828,"species5","M2"
0.25,0.25,"species5","M2"
0.277777777777778,0.25,"species5","M2"
0.277777777777778,0.258620689655172,"species5","M2"
0.277777777777778,0.267241379310345,"species5","M2"
0.277777777777778,0.275862068965517,"species5","M2"
0.305555555555556,0.275862068965517,"species5","M2"
0.305555555555556,0.28448275862069,"species5","M2"
0.305555555555556,0.293103448275862,"species5","M2"
0.305555555555556,0.301724137931034,"species5","M2"
0.305555555555556,0.310344827586207,"species5","M2"
0.333333333333333,0.310344827586207,"species5","M2"
0.361111111111111,0.310344827586207,"species5","M2"
0.361111111111111,0.318965517241379,"species5","M2"
0.361111111111111,0.327586206896552,"species5","M2"
0.361111111111111,0.336206896551724,"species5","M2"
0.361111111111111,0.344827586206897,"species5","M2"
0.361111111111111,0.353448275862069,"species5","M2"
0.361111111111111,0.362068965517241,"species5","M2"
0.361111111111111,0.370689655172414,"species5","M2"
0.361111111111111,0.379310344827586,"species5","M2"
0.361111111111111,0.387931034482759,"species5","M2"
0.361111111111111,0.396551724137931,"species5","M2"
0.361111111111111,0.405172413793103,"species5","M2"
0.361111111111111,0.413793103448276,"species5","M2"
0.361111111111111,0.422413793103448,"species5","M2"
0.361111111111111,0.431034482758621,"species5","M2"
0.361111111111111,0.439655172413793,"species5","M2"
0.361111111111111,0.448275862068966,"species5","M2"
0.361111111111111,0.456896551724138,"species5","M2"
0.361111111111111,0.46551724137931,"species5","M2"
0.361111111111111,0.474137931034483,"species5","M2"
0.361111111111111,0.482758620689655,"species5","M2"
0.361111111111111,0.491379310344828,"species5","M2"
0.388888888888889,0.491379310344828,"species5","M2"
0.388888888888889,0.5,"species5","M2"
0.388888888888889,0.508620689655172,"species5","M2"
0.388888888888889,0.517241379310345,"species5","M2"
0.388888888888889,0.525862068965517,"species5","M2"
0.388888888888889,0.53448275862069,"species5","M2"
0.388888888888889,0.543103448275862,"species5","M2"
0.388888888888889,0.551724137931034,"species5","M2"
0.388888888888889,0.560344827586207,"species5","M2"
0.416666666666667,0.560344827586207,"species5","M2"
0.444444444444444,0.560344827586207,"species5","M2"
0.472222222222222,0.560344827586207,"species5","M2"
0.5,0.560344827586207,"species5","M2"
0.527777777777778,0.560344827586207,"species5","M2"
0.555555555555556,0.560344827586207,"species5","M2"
0.583333333333333,0.560344827586207,"species5","M2"
0.611111111111111,0.560344827586207,"species5","M2"
0.638888888888889,0.560344827586207,"species5","M2"
0.638888888888889,0.568965517241379,"species5","M2"
0.638888888888889,0.577586206896552,"species5","M2"
0.638888888888889,0.586206896551724,"species5","M2"
0.638888888888889,0.594827586206897,"species5","M2"
0.638888888888889,0.603448275862069,"species5","M2"
0.638888888888889,0.612068965517241,"species5","M2"
0.638888888888889,0.620689655172414,"species5","M2"
0.638888888888889,0.629310344827586,"species5","M2"
0.638888888888889,0.637931034482759,"species5","M2"
0.638888888888889,0.646551724137931,"species5","M2"
0.638888888888889,0.655172413793103,"species5","M2"
0.638888888888889,0.663793103448276,"species5","M2"
0.638888888888889,0.672413793103448,"species5","M2"
0.638888888888889,0.681034482758621,"species5","M2"
0.638888888888889,0.689655172413793,"species5","M2"
0.638888888888889,0.698275862068966,"species5","M2"
0.638888888888889,0.706896551724138,"species5","M2"
0.638888888888889,0.71551724137931,"species5","M2"
0.638888888888889,0.724137931034483,"species5","M2"
0.638888888888889,0.732758620689655,"species5","M2"
0.638888888888889,0.741379310344828,"species5","M2"
0.638888888888889,0.75,"species5","M2"
0.638888888888889,0.758620689655172,"species5","M2"
0.638888888888889,0.767241379310345,"species5","M2"
0.638888888888889,0.775862068965517,"species5","M2"
0.638888888888889,0.78448275862069,"species5","M2"
0.638888888888889,0.793103448275862,"species5","M2"
0.638888888888889,0.801724137931034,"species5","M2"
0.638888888888889,0.810344827586207,"species5","M2"
0.638888888888889,0.818965517241379,"species5","M2"
0.638888888888889,0.827586206896552,"species5","M2"
0.638888888888889,0.836206896551724,"species5","M2"
0.638888888888889,0.844827586206897,"species5","M2"
0.638888888888889,0.853448275862069,"species5","M2"
0.638888888888889,0.862068965517241,"species5","M2"
0.638888888888889,0.870689655172414,"species5","M2"
0.638888888888889,0.879310344827586,"species5","M2"
0.638888888888889,0.887931034482759,"species5","M2"
0.638888888888889,0.896551724137931,"species5","M2"
0.638888888888889,0.905172413793103,"species5","M2"
0.638888888888889,0.913793103448276,"species5","M2"
0.666666666666667,0.913793103448276,"species5","M2"
0.666666666666667,0.922413793103448,"species5","M2"
0.666666666666667,0.931034482758621,"species5","M2"
0.666666666666667,0.939655172413793,"species5","M2"
0.694444444444444,0.939655172413793,"species5","M2"
0.722222222222222,0.939655172413793,"species5","M2"
0.722222222222222,0.948275862068966,"species5","M2"
0.722222222222222,0.956896551724138,"species5","M2"
